,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1754,CHEMBL3754241,C[C@]12CCC(=O)C(Sc3ccccc3)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,394.58000000000027,6.207400000000005,0.0,3.0,6.721017883134556
1756,CHEMBL484584,C[C@]12CCC(=O)C(Oc3ccccc3)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,378.5120000000003,5.494100000000006,0.0,3.0,6.275642195773574
1757,CHEMBL3752892,C[C@]12CCC(=O)C(SCF)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,350.4990000000001,5.075300000000005,0.0,3.0,6.0968557295904615
1758,CHEMBL3754724,C[C@]12CCC(=O)C(SCCl)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,366.9540000000002,5.344600000000005,0.0,3.0,6.026825947317028
1759,CHEMBL3754538,C[C@]12CCC(=O)C(c3ccc(OS(N)(=O)=O)cc3)=C1CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,457.5920000000004,4.197100000000003,1.0,5.0,6.004320939488378
1761,CHEMBL3751946,C[C@]12C=CC(=O)C=C1[C@@H](CC[N+](=O)[O-])C[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12,active,357.45000000000016,3.756300000000003,0.0,4.0,6.0409108856326075
1763,CHEMBL3752191,COC(=O)C1=C(C)NC(C)=C(C(=O)OC)C1C[C@H]1C[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)C=CC(=O)C=C12,inactive,521.6540000000005,4.593000000000004,1.0,7.0,4.999995657076895
1764,CHEMBL3753842,CC(=O)O[C@H]1[C@@H]2[C@H](CC[C@]3(C)C(=O)CC[C@@H]23)[C@@]2(C)CCC(=O)C=C2[C@@H]1N=[N+]=[N-],active,385.4640000000001,3.9178000000000033,0.0,5.0,6.397831448621003
1766,CHEMBL3752381,CC(=O)O[C@H]1CC[C@@]2(C)C(=C/C(=N\OCCCn3ccnc3)[C@H]3[C@@H]4CC[C@H](OC(C)=O)[C@@]4(C)CC[C@@H]32)C1,inactive,511.66300000000035,5.081900000000005,0.0,8.0,4.920815134846772
1767,CHEMBL3753182,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C(=O)C(F)(F)F)[C@@H]1CCC2=O,inactive,368.3950000000001,4.198900000000004,0.0,3.0,4.585024981669002
1768,CHEMBL3752510,CSCC[C@]12CCC(=O)C=C1CC[C@@H]1C2=CC[C@]2(C)C(=O)CC[C@@H]12,active,344.52000000000015,4.740700000000005,0.0,3.0,7.91721462968355
1769,CHEMBL3753104,C[C@]12CC=C3[C@@H](CCC4=CC(=O)CC[C@@]43CCSCF)[C@@H]1CCC2=O,active,362.5100000000001,5.037900000000005,0.0,3.0,7.300162274132754
1770,CHEMBL3751861,C[C@]12CC[C@H]3[C@@H](Cc4noc5c4[C@]3(C)CC[C@@H]5O)[C@@H]1CC[C@@H]2O,inactive,317.42900000000003,3.119000000000002,2.0,4.0,3.919012592678904
